feature,importance
customer_state,0.28184977
order_day_of_week,0.15106122
product_category,0.1463613
order_month,0.10211038
seller_state,0.06511703
item_count,0.038803715
num_installments,0.032434236
distance_km,0.032090608
product_weight_g,0.027223226
price,0.025571303
freight_value,0.024605291
product_volume_cm3,0.024285702
primary_payment_type,0.024258044
freight_ratio,0.024228113
